index,split,origin_error_mm,origin_to_Y_mm,corner_rms_mm,reprojection_rms_px,board_rotation_error_deg
51,train,7.506334526823321,7.506334526836007,7.455200625112166,12.634458349005959,1.707155541587454
52,train,7.333439702072194,7.33343970200578,7.389246936838132,12.639540313006185,1.581050764974824
53,train,3.511334684913643,3.511334684816667,3.9075387094355842,4.024645366217772,0.4983909259215758
54,train,7.158877664514243,7.158877664511028,5.898129214082299,9.19683447113848,1.9834955518681316
55,train,7.9773244074813245,7.977324407522005,8.22827729043871,13.989962846521047,2.1493159186032393
56,train,10.367258683817884,10.367258683869046,10.08956990855818,18.070516976585395,0.2990737070037258
57,train,12.544035249769538,12.544035249819238,10.679094272037824,18.137982951701066,2.2626555734209775
58,train,2.4914571392060214,2.491457139118411,2.6381911975484145,2.538718592180313,0.36973597336084546
59,train,9.017992928332156,9.01799292841092,9.693513396872138,16.46880855260922,2.0423878384442578
60,train,3.4808744098543785,3.4808744098027447,3.368905110217905,3.7440233889059518,0.49413904310039597
61,train,3.8243372146500083,3.8243372145307912,4.300062062481929,5.4551781205945,0.6731212334712963
62,train,7.703566591850577,7.703566591860792,6.61026090862733,10.850455606344891,2.7658063628490765
63,train,7.8390945057036685,7.839094505745315,8.197478499073998,13.851932949916968,2.22184276018916
64,train,4.775357972493585,4.775357972432708,4.718472478958416,6.867587508394613,1.318817961115423
65,train,5.506356021952621,5.506356021933389,4.313360882792075,6.173849444503687,1.467295341262343
66,train,4.158490871245766,4.1584908711279756,4.760650324415415,6.395100428776525,0.7797520378510292
67,train,10.306475772553265,10.306475772615489,10.143237189736029,18.117044264736293,0.1533043703562457
68,train,11.602131093163578,11.602131093141962,11.379086086083733,20.590047841464227,0.8844047210921365
69,train,5.797104924022492,5.797104923990853,5.072096179541018,7.257410089593668,1.2766387942828228
70,train,4.7618632809991865,4.761863280976225,4.010892591241426,5.178662516223317,0.783132359402527
71,train,9.188895361109024,9.188895361045205,9.209697850670143,16.252677906741184,1.3767614346621788
72,train,13.027900257846829,13.02790025784655,12.400623625890342,23.051061758272308,1.6059449495355342
73,train,7.331634327786166,7.331634327754671,7.011481666880406,12.142980524919516,1.052216106758215
74,train,4.273037300921501,4.273037300958631,4.411699146386097,6.949813974420057,1.3852018039000376
75,train,8.905922443891605,8.905922443928375,8.695738766565562,15.18061574397767,0.9147060273831699
76,train,10.877778050911513,10.877778050996065,10.815882503080761,19.322019719086274,0.20630904434704347
77,train,6.048874331391428,6.048874331334139,6.233527978855935,10.383456337627415,1.4175120811759172
78,train,4.196304442092403,4.196304441986542,4.118855497296297,3.7425417703374055,0.20775560254332331
79,train,7.498550162508147,7.4985501625253805,7.0213217440560145,11.505117632646328,2.67290420812845
80,validation,4.084919808364889,4.084919808332782,3.6122886846000313,4.016531197023444,0.4344856262812625
81,validation,11.503084651184688,11.503084651279277,11.452043053412309,20.491677602297568,0.10282392725646543
82,validation,4.7184250808404755,4.718425080751088,4.931290007239047,6.852859228180091,0.7383879031823637
83,validation,13.129022078397178,13.12902207840354,12.50766799233816,22.928266579089986,1.5632890511513349
84,validation,8.592905741204401,8.59290574124091,8.544988388365827,14.810593093261001,1.4084207307798708
85,validation,5.035040943051561,5.03504094304656,4.99340328780275,8.170167017367163,1.9345965951518949
86,validation,9.540227249609746,9.540227249697493,10.233637536823506,17.513073310166924,1.7211424052245952
87,validation,5.047351832458927,5.047351832405684,5.087424668465986,7.84008116311223,1.288485954498785
88,validation,3.9366977337743774,3.9366977337226543,3.80962156092774,4.127265706916779,0.2750763498103827
89,validation,11.915340591572292,11.91534059147729,11.703868314083655,21.62297137652479,1.643127568794299
90,validation,7.887039235410385,7.887039235433724,7.52290757793247,12.357659916416436,2.94142209355396
91,validation,12.620494153901237,12.62049415390203,12.017706260855388,21.83655519234749,1.520736841232125
92,validation,5.936887179523413,5.936887179481704,5.4048245843209735,7.838915454723228,1.2594713804995061
93,validation,4.515201289562589,4.515201289552931,4.760191820601547,7.270091881456199,1.2361591320655856
94,validation,3.5117601524754383,3.5117601523871316,3.176233099017673,1.2295533957556166,0.3813281439360846
95,validation,6.884433276372137,6.884433276368236,6.710743735662694,10.994174073576044,2.2222364842139433
96,validation,8.207719165313033,8.207719165343622,7.959995521649468,13.217497115467083,2.9363453268319195
97,validation,3.676149845249318,3.676149845142693,3.629422683174433,3.282304910641065,0.11325352598195033
98,validation,3.4718282533719957,3.471828253320398,3.177046566020575,2.5370158764663815,0.23256634645632976
99,validation,4.465599299081135,4.46559929898052,5.060446428513447,6.894469677021325,0.9415054802690401
